season,week,contestant_id,celebrity_name,ballroom_partner,J_total,p_hat,V_hat,eliminated,uncertainty_width
1,1,0,John O'Hurley,Charlotte Jorgensen,20.0,0.36257171815610867,3625717.181561087,0,0.3135029719858664
1,1,1,Kelly Monaco,Alec Mazo,13.0,0.24303909080562355,2430390.9080562354,0,0.3135029719858664
1,1,2,Evander Holyfield,Edyta Sliwinska,18.0,0.16291397453728548,1629139.7453728549,0,0.3135029719858664
1,1,3,Rachel Hunter,Jonathan Roberts,20.0,0.10920450291168218,1092045.029116822,0,0.3135029719858664
1,1,4,Joey McIntyre,Ashly DelGrosso,20.0,0.07320196741905792,732019.6741905792,0,0.3135029719858664
1,1,5,Trista Sutter,Louis van Amstel,18.0,0.049068746170242254,490687.46170242253,0,0.3135029719858664
1,2,0,John O'Hurley,Charlotte Jorgensen,26.0,0.36257171815610867,3625717.181561087,0,0.0
1,2,1,Kelly Monaco,Alec Mazo,17.0,0.24303909080562355,2430390.9080562354,0,0.0
1,2,2,Evander Holyfield,Edyta Sliwinska,14.0,0.16291397453728548,1629139.7453728549,0,0.0
1,2,3,Rachel Hunter,Jonathan Roberts,24.0,0.10920450291168218,1092045.029116822,0,0.0
1,2,4,Joey McIntyre,Ashly DelGrosso,21.0,0.07320196741905792,732019.6741905792,0,0.0
1,2,5,Trista Sutter,Louis van Amstel,19.0,0.049068746170242254,490687.46170242253,1,0.0
1,3,0,John O'Hurley,Charlotte Jorgensen,24.0,0.38128068322068076,3812806.8322068076,0,0.0
1,3,1,Kelly Monaco,Alec Mazo,21.0,0.2555800851289867,2555800.8512898674,0,0.0
1,3,2,Evander Holyfield,Edyta Sliwinska,13.0,0.07697924232087869,769792.4232087869,1,0.0
1,3,3,Rachel Hunter,Jonathan Roberts,26.0,0.1148395348999989,1148395.348999989,0,0.0
1,3,4,Joey McIntyre,Ashly DelGrosso,22.0,0.17132045442945495,1713204.5442945496,0,0.0
1,4,0,John O'Hurley,Charlotte Jorgensen,21.0,0.4130792076435935,4130792.076435935,0,0.0
1,4,1,Kelly Monaco,Alec Mazo,26.0,0.276895273484019,2768952.73484019,0,0.0
1,4,3,Rachel Hunter,Jonathan Roberts,25.0,0.12441706640352901,1244170.66403529,1,0.0
1,4,4,Joey McIntyre,Ashly DelGrosso,20.0,0.1856084524688585,1856084.524688585,0,0.0
1,5,0,John O'Hurley,Charlotte Jorgensen,27.0,0.4717762210677908,4717762.210677908,0,0.0
1,5,1,Kelly Monaco,Alec Mazo,23.5,0.31624105822468146,3162410.5822468144,0,0.0
1,5,4,Joey McIntyre,Ashly DelGrosso,22.5,0.21198272070752774,2119827.2070752773,0,0.0
1,6,0,John O'Hurley,Charlotte Jorgensen,27.0,0.598687660112452,5986876.60112452,0,0.0
1,6,1,Kelly Monaco,Alec Mazo,27.5,0.401312339887548,4013123.39887548,0,0.0
2,1,6,Tatum O'Neal,Nick Kosovich,23.0,0.33583091167018625,3358309.1167018623,0,0.2768322372758322
2,1,7,Tia Carrere,Maksim Chmerkoskiy,20.0,0.2251141921709499,2251141.9217094993,0,0.32214170354644545
2,1,8,George Hamilton,Edyta Sliwinska,18.0,0.15089855565930688,1508985.5565930689,0,0.3191119927555622
2,1,9,Lisa Rinna,Louis van Amstel,19.0,0.10115032677625807,1011503.2677625807,0,0.32665476105048885
2,1,10,Stacy Keibler,Tony Dovolani,22.0,0.06780309170118129,678030.9170118129,0,0.32665476105048885
2,1,11,Jerry Rice,Anna Trebunskaya,21.0,0.04544977155049449,454497.7155049449,0,0.32665476105048885
2,1,12,Giselle Fernandez,Jonathan Roberts,23.0,0.030465892958036762,304658.92958036764,0,0.2768322372758322
2,1,13,Master P,Ashly DelGrosso,12.0,0.020421898770148064,204218.98770148066,0,0.3053650187121495
2,1,14,Drew Lachey,Cheryl Burke,24.0,0.013689208123740816,136892.08123740816,0,0.32665476105048885
2,1,15,Kenny Mayne,Andrea Hale,13.0,0.009176150619697392,91761.50619697392,1,0.036273620930797106
2,2,6,Tatum O'Neal,Nick Kosovich,17.0,0.0206110286736847,206110.286736847,1,0.016932055929809016
2,2,7,Tia Carrere,Maksim Chmerkoskiy,22.0,0.227199004456488,2271990.04456488,0,0.0
2,2,8,George Hamilton,Edyta Sliwinska,22.0,0.15229604712652442,1522960.4712652443,0,0.0
2,2,9,Lisa Rinna,Louis van Amstel,20.0,0.10208709332089776,1020870.9332089776,0,0.0
2,2,10,Stacy Keibler,Tony Dovolani,29.0,0.0684310250945088,684310.250945088,0,0.0
2,2,11,Jerry Rice,Anna Trebunskaya,23.0,0.04587068789161711,458706.8789161711,0,0.01512264627242188
2,2,12,Giselle Fernandez,Jonathan Roberts,24.0,0.030748041619195227,307480.41619195224,0,0.028996932859296578
2,2,13,Master P,Ashly DelGrosso,16.0,0.33894108612769785,3389410.8612769786,0,0.0
2,2,14,Drew Lachey,Cheryl Burke,27.0,0.013815985689386209,138159.8568938621,0,0.016932055929809016
2,3,7,Tia Carrere,Maksim Chmerkoskiy,26.0,0.23038195829538988,2303819.5829538987,0,0.0
2,3,8,George Hamilton,Edyta Sliwinska,22.0,0.15442964489034644,1544296.4489034645,0,0.0
2,3,9,Lisa Rinna,Louis van Amstel,25.0,0.10351728667216446,1035172.8667216446,0,0.0
2,3,10,Stacy Keibler,Tony Dovolani,27.0,0.06938971236756977,693897.1236756977,0,0.022876397178940654
2,3,11,Jerry Rice,Anna Trebunskaya,19.0,0.04651331518862912,465133.15188629116,0,0.0382109047890577
2,3,12,Giselle Fernandez,Jonathan Roberts,22.0,0.031178807578512078,311788.0757851208,1,0.025613535457264563
2,3,13,Master P,Ashly DelGrosso,14.0,0.34368949527602377,3436894.9527602377,0,0.0
2,3,14,Drew Lachey,Cheryl Burke,27.0,0.020899779731364556,208997.79731364557,0,0.010279027847147522
2,4,7,Tia Carrere,Maksim Chmerkoskiy,25.0,0.23529966956005793,2352996.6956005795,0,0.0
2,4,8,George Hamilton,Edyta Sliwinska,21.0,0.15772608533166874,1577260.8533166873,0,0.0
2,4,9,Lisa Rinna,Louis van Amstel,26.0,0.10572695678054536,1057269.5678054537,0,0.0
2,4,10,Stacy Keibler,Tony Dovolani,26.0,0.07087089853634324,708708.9853634323,0,0.023364714566874542
2,4,11,Jerry Rice,Anna Trebunskaya,24.0,0.3510258583965243,3510258.583965243,0,0.0
