alpha_pop,beta,lambda_smooth,rho_pop,kappa_rank,EMR,B2CR,std_EMR,std_B2CR,score
0.4,1.2,0.7,0.3,0.5,0.6634615384615384,0.8392857142857143,0.22906891767742793,0.11009779618493873,0.7174569549873897
0.6,1.2,0.5,0.3,0.4,0.6682692307692307,0.8035714285714286,0.20886692489509595,0.10584751899001042,0.7044488852818189
0.4,1.2,0.7,0.3,0.4,0.6538461538461539,0.8214285714285714,0.22372920445914024,0.10915385303994303,0.7043490568874544
0.8,0.8,0.5,0.2,0.4,0.6682692307692307,0.8035714285714286,0.2126272006265483,0.10584751899001042,0.7040728577086737
0.4,0.8,0.3,0.3,0.5,0.6682692307692307,0.8035714285714286,0.23295690039902364,0.10584751899001042,0.7020398877314262
0.4,1.0,0.3,0.3,0.4,0.6298076923076923,0.8392857142857143,0.2222928316166412,0.11009779618493873,0.7013076405165451
0.8,0.8,0.3,0.1,0.4,0.6586538461538461,0.8035714285714286,0.2242351257152884,0.10584751899001042,0.6981043728921075
0.4,0.8,0.3,0.3,0.4,0.6586538461538461,0.8035714285714286,0.22940276018880013,0.10584751899001042,0.6975876094447562
0.8,1.0,0.7,0.1,0.4,0.6490384615384616,0.8035714285714286,0.20239231600393082,0.10584751899001042,0.6954809615555508
0.8,1.0,0.7,0.1,0.3,0.6490384615384616,0.8035714285714286,0.20239231600393082,0.10584751899001042,0.6954809615555508
1.0,0.8,0.7,0.2,0.6,0.6586538461538461,0.8035714285714286,0.21309430298034696,0.14389548589231999,0.6954136584753706
0.6,1.2,0.5,0.3,0.5,0.6730769230769231,0.7857142857142857,0.20141938033053228,0.13955023256575264,0.695298643105976
0.6,1.2,0.5,0.3,0.6,0.6730769230769231,0.7857142857142857,0.20141938033053228,0.13955023256575264,0.695298643105976
0.4,1.4,0.3,0.2,0.4,0.6538461538461539,0.8035714285714286,0.22006407191114435,0.12094442356451741,0.6946079416612251
0.8,1.2,0.7,0.2,0.4,0.6490384615384616,0.8035714285714286,0.21285843884204814,0.10584751899001042,0.6944343492717391
0.4,1.2,0.7,0.3,0.6,0.6586538461538461,0.8035714285714286,0.22480168999629077,0.14405563921734127,0.6942269044412741
1.0,0.8,0.7,0.2,0.3,0.6586538461538461,0.8035714285714286,0.21309430298034696,0.15865117892556796,0.6939380891720458
1.0,0.8,0.7,0.2,0.4,0.6586538461538461,0.8035714285714286,0.21309430298034696,0.15865117892556796,0.6939380891720458
0.6,1.2,0.5,0.3,0.3,0.6682692307692307,0.7857142857142857,0.20886692489509595,0.13955023256575264,0.6921500424956734
0.8,0.8,0.3,0.1,0.3,0.6682692307692307,0.7857142857142857,0.22787534111197158,0.13955023256575264,0.6902492008739858
0.4,1.4,0.3,0.2,0.6,0.6490384615384616,0.8035714285714286,0.21976421325964265,0.15538464990537657,0.6887900587384431
0.4,1.0,0.3,0.3,0.3,0.6298076923076923,0.8214285714285714,0.2222928316166412,0.14671701232531933,0.6887171474739358
0.8,0.8,0.5,0.2,0.6,0.6730769230769231,0.7857142857142857,0.21264512041379227,0.19523738744304822,0.6886073536099204
0.8,0.8,0.5,0.2,0.5,0.6730769230769231,0.7857142857142857,0.21264512041379227,0.19523738744304822,0.6886073536099204
0.4,0.8,0.3,0.3,0.6,0.6634615384615384,0.7857142857142857,0.22223978822541304,0.13955023256575264,0.6884089100087954
0.8,0.8,0.3,0.1,0.5,0.6586538461538461,0.7857142857142857,0.2242351257152884,0.13955023256575264,0.6858055301059618
0.8,0.8,0.3,0.1,0.6,0.6586538461538461,0.7857142857142857,0.2242351257152884,0.13955023256575264,0.6858055301059618
0.4,0.8,0.3,0.3,0.3,0.6586538461538461,0.7857142857142857,0.22940276018880013,0.13955023256575264,0.6852887666586106
0.4,1.4,0.3,0.2,0.3,0.6538461538461539,0.7857142857142857,0.22006407191114435,0.12918268535753422,0.6848555440533519
0.4,1.0,0.3,0.3,0.6,0.6298076923076923,0.8035714285714286,0.2222928316166412,0.10584751899001042,0.6838755253788953
0.4,1.4,0.3,0.2,0.5,0.6538461538461539,0.7857142857142857,0.22006407191114435,0.1503817708771588,0.6827356355013894
0.4,1.2,0.7,0.3,0.3,0.6538461538461539,0.7857142857142857,0.22372920445914024,0.15648466356433008,0.6817588329778728
1.0,0.8,0.7,0.2,0.5,0.6586538461538461,0.7857142857142857,0.21309430298034696,0.19523738744304822,0.6813508968917265
0.8,1.0,0.7,0.1,0.6,0.6538461538461539,0.7857142857142857,0.2029287445584115,0.19523738744304822,0.6799636065800738
0.8,1.2,0.7,0.2,0.5,0.6394230769230769,0.7857142857142857,0.20785304582661562,0.1503817708771588,0.6767451996483038
0.8,1.0,0.7,0.1,0.5,0.6490384615384616,0.7678571428571429,0.20239231600393082,0.17768333673762315,0.6704402369236468
0.8,1.2,0.7,0.2,0.3,0.6490384615384616,0.7678571428571429,0.21285843884204814,0.17768333673762315,0.6693936246398351
0.8,0.8,0.5,0.2,0.3,0.6682692307692307,0.75,0.2126272006265483,0.21793347496775342,0.6660785478251853
0.8,1.2,0.7,0.2,0.6,0.6394230769230769,0.7678571428571429,0.20785304582661562,0.17768333673762315,0.6650864716336861
0.4,1.0,0.3,0.3,0.5,0.6298076923076923,0.7678571428571429,0.2222928316166412,0.150475236253824,0.6615556107953711
