season,week,contestant_id,celebrity_name,ballroom_partner,J_total,p_hat,V_hat,judge_share,fan_judge_gap,momentum,popularity_score,eliminated
1,1,0,John O'Hurley,Charlotte Jorgensen,20.0,0.4638628229334241,4638628.229334241,0.1834862385321101,0.280376584401314,0.29719615626675744,-1.791759469228055,0
1,1,1,Kelly Monaco,Alec Mazo,13.0,0.02309437007869676,230943.70078696762,0.11926605504587157,-0.0961716849671748,-0.14357229658796988,-1.791759469228055,0
1,1,2,Evander Holyfield,Edyta Sliwinska,18.0,0.04208068590356939,420806.8590356939,0.1651376146788991,-0.1230569287753297,-0.12458598076309726,-1.791759469228055,0
1,1,3,Rachel Hunter,Jonathan Roberts,20.0,0.25457331477728623,2545733.147772862,0.1834862385321101,0.07108707624517613,0.08790664811061957,-1.791759469228055,0
1,1,4,Joey McIntyre,Ashly DelGrosso,20.0,0.13971279738880205,1397127.9738880205,0.1834862385321101,-0.043773441143308056,-0.02695386927786461,-1.791759469228055,0
1,1,5,Trista Sutter,Louis van Amstel,18.0,0.07667600891822167,766760.0891822167,0.1651376146788991,-0.08846160576067742,-0.08999065774844499,-1.791759469228055,0
1,2,0,John O'Hurley,Charlotte Jorgensen,26.0,0.46386282293342396,4638628.22933424,0.21487603305785125,0.2489867898755727,-1.6653345369377348e-16,-1.587040857521596,0
1,2,1,Kelly Monaco,Alec Mazo,17.0,0.04208068590356938,420806.8590356938,0.14049586776859505,-0.09841518186502567,0.018986315824872618,-2.1870408575215956,0
1,2,2,Evander Holyfield,Edyta Sliwinska,14.0,0.07667600891822164,766760.0891822164,0.11570247933884298,-0.03902647042062134,0.03459532301465225,-2.067040857521596,0
1,2,3,Rachel Hunter,Jonathan Roberts,24.0,0.2545733147772861,2545733.147772861,0.19834710743801653,0.056226207339269585,-1.1102230246251565e-16,-1.7070408575215958,0
1,2,4,Joey McIntyre,Ashly DelGrosso,21.0,0.139712797388802,1397127.9738880198,0.17355371900826447,-0.03384092161946248,-5.551115123125783e-17,-1.8270408575215957,0
1,2,5,Trista Sutter,Louis van Amstel,19.0,0.023094370078696753,230943.70078696753,0.15702479338842976,-0.133930423309733,-0.053581638839524916,-1.9470408575215958,1
