season,week,judge_save,actual_eliminated,cbr_elim,cbp_elim,cbr_bottom2,cbp_bottom2,cbr_hit,cbp_hit
1,1,False,,Kelly Monaco,Kelly Monaco,Kelly Monaco; Evander Holyfield,Kelly Monaco; Evander Holyfield,0,0
1,2,False,Trista Sutter,Kelly Monaco,Trista Sutter,Kelly Monaco; Evander Holyfield,Trista Sutter; Kelly Monaco,0,1
1,3,False,Evander Holyfield,Evander Holyfield,Evander Holyfield,Evander Holyfield; Kelly Monaco,Evander Holyfield; Kelly Monaco,1,1
1,4,False,Rachel Hunter,John O'Hurley,Rachel Hunter,John O'Hurley; Rachel Hunter,Rachel Hunter; John O'Hurley,0,1
1,5,False,,Kelly Monaco,Kelly Monaco,Kelly Monaco; Joey McIntyre,Kelly Monaco; Joey McIntyre,0,0
1,6,False,,John O'Hurley,John O'Hurley,John O'Hurley; Kelly Monaco,John O'Hurley; Kelly Monaco,0,0
2,1,False,Kenny Mayne,Master P,Master P,Master P; Kenny Mayne,Master P; Kenny Mayne,0,0
2,2,False,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal; Lisa Rinna,Tatum O'Neal; Lisa Rinna,1,1
2,3,False,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez; George Hamilton,Giselle Fernandez; George Hamilton,1,1
2,4,False,Master P,Master P,Master P,Master P; George Hamilton,Master P; George Hamilton,1,1
2,5,False,Tia Carrere,Tia Carrere,George Hamilton,Tia Carrere; George Hamilton,George Hamilton; Tia Carrere,1,0
2,6,False,George Hamilton,George Hamilton,George Hamilton,George Hamilton; Jerry Rice,George Hamilton; Jerry Rice,1,1
2,7,False,Lisa Rinna,Lisa Rinna,Lisa Rinna,Lisa Rinna; Jerry Rice,Lisa Rinna; Jerry Rice,1,1
2,8,False,,Jerry Rice,Jerry Rice,Jerry Rice; Stacy Keibler,Jerry Rice; Drew Lachey,0,0
3,1,False,Tucker Carlson,Tucker Carlson,Tucker Carlson,Tucker Carlson; Sara Evans,Tucker Carlson; Sara Evans,1,1
3,2,False,Shanna Moakler,Sara Evans,Shanna Moakler,Sara Evans; Jerry Springer,Shanna Moakler; Jerry Springer,0,1
3,3,False,Harry Hamlin,Jerry Springer,Jerry Springer,Jerry Springer; Harry Hamlin,Jerry Springer; Harry Hamlin,0,0
3,4,False,Vivica A. Fox,Sara Evans,Sara Evans,Sara Evans; Jerry Springer,Sara Evans; Vivica A. Fox,0,0
3,5,False,Willa Ford,Sara Evans,Willa Ford,Sara Evans; Jerry Springer,Willa Ford; Sara Evans,0,1
3,6,False,,Jerry Springer,Jerry Springer,Jerry Springer; Monique Coleman,Jerry Springer; Emmitt Smith,0,0
3,7,False,Jerry Springer,Jerry Springer,Jerry Springer,Jerry Springer; Monique Coleman,Jerry Springer; Monique Coleman,1,1
3,8,False,Monique Coleman,Monique Coleman,Monique Coleman,Monique Coleman; Emmitt Smith,Monique Coleman; Emmitt Smith,1,1
3,9,False,,Emmitt Smith,Emmitt Smith,Emmitt Smith; Joey Lawrence,Emmitt Smith; Joey Lawrence,0,0
3,10,False,,Emmitt Smith,Emmitt Smith,Emmitt Smith; Mario Lopez,Emmitt Smith; Mario Lopez,0,0
4,1,False,,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus; Leeza Gibbons,Billy Ray Cyrus; Leeza Gibbons,0,0
4,2,False,Paulina Porizkova,Paulina Porizkova,Clyde Drexler,Paulina Porizkova; Billy Ray Cyrus,Clyde Drexler; Paulina Porizkova,1,0
4,3,False,Shandi Finnessey,John Ratzenberger,Clyde Drexler,John Ratzenberger; Clyde Drexler,Clyde Drexler; Shandi Finnessey,0,0
4,4,False,Leeza Gibbons,John Ratzenberger,John Ratzenberger,John Ratzenberger; Leeza Gibbons,John Ratzenberger; Leeza Gibbons,0,0
4,5,False,Clyde Drexler,John Ratzenberger,Clyde Drexler,John Ratzenberger; Clyde Drexler,Clyde Drexler; Billy Ray Cyrus,0,1
4,6,False,Heather Mills,Heather Mills,John Ratzenberger,Heather Mills; Billy Ray Cyrus,John Ratzenberger; Billy Ray Cyrus,1,0
4,7,False,John Ratzenberger,John Ratzenberger,John Ratzenberger,John Ratzenberger; Billy Ray Cyrus,John Ratzenberger; Billy Ray Cyrus,1,1
4,8,False,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus; Ian Ziering,Billy Ray Cyrus; Ian Ziering,1,1
