,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
kappa,7.162,0.21,6.76,7.578,0.002,0.002,15209.0,9048.0,1.0
Intercept,-0.859,0.258,-1.354,-0.346,0.009,0.004,872.0,2349.0,1.0
age_z,-0.209,0.022,-0.252,-0.166,0.0,0.0,13279.0,9946.0,1.0
C(region)[Midwest],-0.357,0.076,-0.497,-0.202,0.001,0.001,7897.0,9256.0,1.0
C(region)[Northeast],-0.131,0.067,-0.259,0.002,0.001,0.0,7428.0,9462.0,1.0
C(region)[South],-0.349,0.065,-0.473,-0.221,0.001,0.0,7118.0,9143.0,1.0
C(region)[Unknown],-1.255,0.36,-1.953,-0.558,0.003,0.004,19318.0,8606.0,1.0
C(region)[West],-0.344,0.065,-0.476,-0.222,0.001,0.0,7668.0,8940.0,1.0
C(season)[2],-0.369,0.22,-0.776,0.084,0.008,0.003,732.0,2128.0,1.01
C(season)[3],-0.429,0.213,-0.836,-0.007,0.008,0.003,639.0,1884.0,1.01
C(season)[4],-0.563,0.214,-0.976,-0.138,0.008,0.004,661.0,1856.0,1.01
C(season)[5],-0.855,0.216,-1.29,-0.443,0.008,0.004,658.0,1554.0,1.01
C(season)[6],-1.089,0.218,-1.514,-0.667,0.009,0.004,642.0,1846.0,1.01
C(season)[7],-0.764,0.212,-1.176,-0.346,0.008,0.004,632.0,1547.0,1.01
C(season)[8],-1.058,0.217,-1.49,-0.641,0.009,0.004,630.0,1787.0,1.01
C(season)[9],-0.988,0.211,-1.405,-0.585,0.009,0.004,597.0,1559.0,1.01
C(season)[10],-0.748,0.215,-1.18,-0.34,0.009,0.004,643.0,1800.0,1.01
C(season)[11],-0.808,0.216,-1.22,-0.379,0.009,0.004,642.0,1522.0,1.01
C(season)[12],-0.772,0.219,-1.216,-0.355,0.009,0.004,645.0,1636.0,1.01
C(season)[13],-0.782,0.218,-1.204,-0.359,0.009,0.004,634.0,1749.0,1.01
C(season)[14],-1.049,0.218,-1.467,-0.618,0.009,0.004,627.0,1725.0,1.01
C(season)[15],-0.908,0.216,-1.332,-0.487,0.009,0.004,607.0,1666.0,1.01
C(season)[16],-1.272,0.218,-1.668,-0.825,0.009,0.004,616.0,1838.0,1.01
C(season)[17],-1.079,0.214,-1.494,-0.667,0.009,0.004,594.0,1669.0,1.01
C(season)[18],-1.109,0.221,-1.556,-0.691,0.009,0.004,621.0,1759.0,1.01
C(season)[19],-1.118,0.22,-1.541,-0.695,0.009,0.004,607.0,1370.0,1.01
C(season)[20],-0.966,0.219,-1.379,-0.53,0.009,0.004,600.0,1699.0,1.01
C(season)[21],-1.093,0.216,-1.515,-0.672,0.009,0.004,600.0,1436.0,1.01
C(season)[22],-0.878,0.22,-1.298,-0.446,0.009,0.004,612.0,1487.0,1.01
C(season)[23],-1.005,0.214,-1.422,-0.592,0.009,0.004,596.0,1555.0,1.01
C(season)[24],-0.777,0.218,-1.199,-0.349,0.009,0.004,624.0,1716.0,1.01
C(season)[25],-1.024,0.222,-1.458,-0.594,0.009,0.004,601.0,1632.0,1.01
C(season)[26],-0.391,0.258,-0.869,0.141,0.009,0.003,796.0,2469.0,1.01
