term,coef
Intercept,-0.10347222880421024
C(region)[T.Midwest],0.3314920507943908
C(region)[T.Northeast],0.3628067254918941
C(region)[T.Other],0.41794628586502275
C(region)[T.South],0.3377485045870706
C(region)[T.West],0.37591003283259816
C(season)[T.2],-0.07258918909760542
C(season)[T.3],-0.08097870829691636
C(season)[T.4],-0.12891642472544795
C(season)[T.5],-0.1365040139069849
C(season)[T.6],-0.14036783017358914
C(season)[T.7],-0.12719846217803443
C(season)[T.8],-0.14681748321003374
C(season)[T.9],-0.18851552449505143
C(season)[T.10],-0.07629181849940754
C(season)[T.11],-0.11912535365558968
C(season)[T.12],-0.13543018549774477
C(season)[T.13],-0.16569002171121056
C(season)[T.14],-0.22842267731737834
C(season)[T.15],-0.1303964119821271
C(season)[T.16],-0.17370316707699632
C(season)[T.17],-0.20998111992655472
C(season)[T.18],-0.16075588263435237
C(season)[T.19],-0.16288546630100786
C(season)[T.20],-0.14607479684425545
C(season)[T.21],-0.19294085182860826
C(season)[T.22],-0.19656149119849495
C(season)[T.23],-0.18612461566933966
C(season)[T.24],-0.14419232104766358
C(season)[T.25],-0.22635115837691336
C(season)[T.26],-0.1305041787964513
C(season)[T.27],-0.175770710201805
C(season)[T.28],-0.155857625028722
C(season)[T.29],-0.2136541225788611
C(season)[T.30],-0.18999790579300727
C(season)[T.31],-0.1733673495242558
C(season)[T.32],-0.17222379451817293
C(season)[T.33],-0.131903207239231
C(season)[T.34],-0.11194441176794204
celebrity_age_during_season,-0.001278726840234463
week,0.01119943954490121
