term,coef,std_err,z,p_value,ci_lower,ci_upper
Intercept,-0.10347222880421024,0.07108084386076052,-1.4556978108884138,0.1454761753248288,-0.2427881227620159,0.0358436651535954
C(region)[T.Midwest],0.3314920507943908,0.060425130705728504,5.485996421071279,4.111452200455561e-08,0.2130609708500376,0.449923130738744
C(region)[T.Northeast],0.3628067254918941,0.05926816735045797,6.121443292595593,9.273152151344267e-10,0.24664325205530374,0.4789701989284844
C(region)[T.Other],0.41794628586502275,0.060330305506929756,6.9276341691493,4.279366243719115e-12,0.29970105989514195,0.5361915118349035
C(region)[T.South],0.3377485045870706,0.05965374097558359,5.661815991143151,1.497793875622245e-08,0.22082932073184552,0.4546676884422957
C(region)[T.West],0.37591003283259816,0.05983826119635451,6.282101540335191,3.3402655186225376e-10,0.2586291959902427,0.4931908696749536
C(season)[T.2],-0.07258918909760542,0.040544217963716454,-1.7903709269362755,0.07339430089530137,-0.15205439608783156,0.006876017892620712
C(season)[T.3],-0.08097870829691636,0.0409363753805167,-1.9781601947948098,0.04791063764082853,-0.16121252970034122,-0.0007448868934914893
C(season)[T.4],-0.12891642472544795,0.03931854634860774,-3.2787688431419553,0.0010426100070753937,-0.20597935949318796,-0.05185348995770793
C(season)[T.5],-0.1365040139069849,0.040655645490475595,-3.3575660221398707,0.0007863196230754319,-0.21618761483654533,-0.05682041297742449
C(season)[T.6],-0.14036783017358914,0.03919311171889633,-3.581441330311955,0.0003417038778575758,-0.21718491758468067,-0.06355074276249761
C(season)[T.7],-0.12719846217803443,0.0414283271762315,-3.0703258096071875,0.002138253736890794,-0.20839649138319014,-0.04600043297287873
C(season)[T.8],-0.14681748321003374,0.039426640806195436,-3.723814157328947,0.00019623540221321717,-0.22409227922157404,-0.06954268719849345
C(season)[T.9],-0.18851552449505143,0.03981784687292165,-4.734447974967036,2.1965210205280375e-06,-0.26655707030790865,-0.11047397868219419
C(season)[T.10],-0.07629181849940754,0.040958894869952474,-1.862643480534319,0.0625124426437902,-0.15656977729107677,0.003986140292261686
C(season)[T.11],-0.11912535365558968,0.04019436608214975,-2.9637326139718136,0.0030393225291391176,-0.1979048635580215,-0.04034584375315786
C(season)[T.12],-0.13543018549774477,0.04014381778620564,-3.3736249556284545,0.0007418536745982464,-0.21411062256064628,-0.056749748434843275
C(season)[T.13],-0.16569002171121056,0.04078001215400571,-4.063020410231419,4.844179207711176e-05,-0.24561737682216742,-0.0857626666002537
C(season)[T.14],-0.22842267731737834,0.04029055148618811,-5.669385721753728,1.433104007718384e-08,-0.3073907071475638,-0.1494546474871929
C(season)[T.15],-0.1303964119821271,0.03965878619401312,-3.2879577136884666,0.001009169961385504,-0.20812620459296713,-0.052666619371287055
C(season)[T.16],-0.17370316707699632,0.04035325863273787,-4.304563570885303,1.6731524404467604e-05,-0.25279410065599256,-0.09461223349800006
C(season)[T.17],-0.20998111992655472,0.04010730454511556,-5.235483219530571,1.645537753177803e-07,-0.2885899923519608,-0.13137224750114862
C(season)[T.18],-0.16075588263435237,0.04003523314795885,-4.015360221339146,5.935506851989052e-05,-0.23922349771701584,-0.08228826755168889
C(season)[T.19],-0.16288546630100786,0.04041105906661033,-4.030715107775834,5.560741158830119e-05,-0.2420896866486849,-0.0836812459533308
C(season)[T.20],-0.14607479684425545,0.0410836547798473,-3.555545328842294,0.0003771959026713779,-0.226597280566033,-0.06555231312247789
C(season)[T.21],-0.19294085182860826,0.0404509099976428,-4.76975306216477,1.8445189092489387e-06,-0.27222317856585937,-0.11365852509135717
C(season)[T.22],-0.19656149119849495,0.040961890580626936,-4.798643041428839,1.5974420258909178e-06,-0.27684532147519425,-0.11627766092179567
C(season)[T.23],-0.18612461566933966,0.04023064248519556,-4.626439056692457,3.7200626284871474e-06,-0.26497522601522994,-0.10727400532344938
C(season)[T.24],-0.14419232104766358,0.04088967163621351,-3.5263751279421176,0.0004212897810656994,-0.22433460479431105,-0.06405003730101612
C(season)[T.25],-0.22635115837691336,0.04181562550868148,-5.413075988302981,6.195118404706392e-08,-0.30830827836494346,-0.14439403838888326
C(season)[T.26],-0.1305041787964513,0.04709653266824531,-2.770993349250174,0.0055885568279763565,-0.2228116866229262,-0.03819667096997639
C(season)[T.27],-0.175770710201805,0.04053100729207464,-4.33669730769743,1.446395913922202e-05,-0.25521002475140164,-0.09633139565220841
C(season)[T.28],-0.155857625028722,0.04099729231850138,-3.8016565537521143,0.00014373187473983433,-0.23621084143664534,-0.07550440862079867
C(season)[T.29],-0.2136541225788611,0.040599875306692235,-5.262432974606788,1.4216149640289927e-07,-0.29322841595679494,-0.13407982920092726
C(season)[T.30],-0.18999790579300727,0.04045697038741224,-4.696295940442518,2.649216369721367e-06,-0.2692921106759387,-0.1107037009100758
C(season)[T.31],-0.1733673495242558,0.04106154497087262,-4.222134107404764,2.4200004490447123e-05,-0.25384649881673793,-0.0928882002317737
C(season)[T.32],-0.17222379451817293,0.04121713403235593,-4.178451475616312,2.935005980558691e-05,-0.25300789276755076,-0.09143969626879514
C(season)[T.33],-0.131903207239231,0.04280641228383805,-3.0813889836087065,0.0020603729217460805,-0.21580223362292655,-0.04800418085553544
C(season)[T.34],-0.11194441176794204,0.04374455882154649,-2.5590476800694932,0.01049593446062731,-0.19768217157776707,-0.026206651958117
celebrity_age_during_season,-0.001278726840234463,0.0002806089937218249,-4.556970264118116,5.189676785606109e-06,-0.001828710361667266,-0.00072874331880166
week,0.01119943954490121,0.0009171774310807252,12.210766603474669,2.723111974202266e-34,0.00940180481255002,0.012997074277252399
