ballroom_partner,effect
Derek Hough,1.5843566545541035
Artem Chigvintsev,1.1781377351173572
Valentin Chmerkovskiy,1.1486175264802483
Mark Ballas,0.9441193522315972
Maksim Chmerkoskiy,0.7261947442614367
Sasha Farber,0.6816736935761059
Kym Johnson,0.6244975369465361
Charlotte Jorgensen,0.5995100914283532
Allison Holker,0.5928300369403109
Alan Bersten (Rashad Jennings week 9),0.5617041383681449
Damian Whitewood,0.5406124059647521
Tony Dovolani,0.46459586960247645
Nick Kosovich,0.3968738962300342
Pasha Pashkov,0.3562165153492433
Daniella Karagach (Rumer Willis week 9),0.32909613540397015
Corky Ballas,0.3155743956039006
Val Chmerkovskiy,0.30484569052617266
Witney Carson (Xoshitl Gomez week 9),0.2998095850802272
Val Chmerkovskiy (Joey Graziadei week 9),0.28863270527735385
Witney Carson,0.264027813181515
Jonathan Roberts,0.2212751763857874
Tristan MacManus,0.21416292294505776
Brandon Armstrong,0.21078140528411096
Cheryl Burke,0.19922247475760718
Lindsay Arnold,0.16228922407335478
Ezra Sosa (Apolo Anton Ohno week 9),0.14998462749311128
Fabian Sanchez,0.12511858817371443
Inna Brayer,0.07283938535936249
Alec Mazo,-0.012283371830915605
Dmitry Chaplin,-0.016029526637763972
Julianne Hough,-0.02111573445583812
Daniella Karagach,-0.038664251536267034
Sharna Burgess,-0.06019879975939314
Brian Fortuna,-0.07229981278132387
Jesse DeSoto,-0.09693629356848724
Peta Murgatroyd,-0.10803130233237346
Emma Slater,-0.1872728806184491
Emma Slater/Kaitlyn Bristowe (week 9),-0.22429057361808397
Alan Bersten,-0.22538105275297712
Anna Trebunskaya,-0.23058262789622702
Gleb Savchenko,-0.23202659827277725
Henry Byalikov,-0.276643134767215
Kym Herjavec,-0.30091255837518555
Andrea Hale,-0.30850703773882027
Jan Ravnik,-0.33809894666300183
Jenna Johnson,-0.36968456843600217
Louis van Amstel,-0.3728217605222701
Edyta Sliwinska,-0.37794381709677016
Tyne Stecklein,-0.4260140735426159
Ezra Sosa,-0.5027002456820848
Karina Smirnoff,-0.5274848663623489
Chelsie Hightower,-0.5758958757271319
Britt Stewart,-0.599578383750868
Anna Demidova,-0.6896454205174437
Lacey Schwimmer,-0.8191142698083985
Ashly DelGrosso,-0.9430593697349556
Keo Motsepe,-0.9516112609313327
Elena Grinenko,-1.0695601103094154
Rylee Arnold,-1.250629990585226
Koko Iwasaki,-1.3325818099841404
