ballroom_partner,effect,rank
Derek Hough,1.5843566545541035,1
Artem Chigvintsev,1.1781377351173572,2
Valentin Chmerkovskiy,1.1486175264802483,3
Mark Ballas,0.9441193522315972,4
Maksim Chmerkoskiy,0.7261947442614367,5
Sasha Farber,0.6816736935761059,6
Kym Johnson,0.6244975369465361,7
Charlotte Jorgensen,0.5995100914283532,8
Allison Holker,0.5928300369403109,9
Alan Bersten (Rashad Jennings week 9),0.5617041383681449,10
Damian Whitewood,0.5406124059647521,11
Tony Dovolani,0.46459586960247645,12
Nick Kosovich,0.3968738962300342,13
Pasha Pashkov,0.3562165153492433,14
Daniella Karagach (Rumer Willis week 9),0.32909613540397015,15
Corky Ballas,0.3155743956039006,16
Val Chmerkovskiy,0.30484569052617266,17
Witney Carson (Xoshitl Gomez week 9),0.2998095850802272,18
Val Chmerkovskiy (Joey Graziadei week 9),0.28863270527735385,19
Witney Carson,0.264027813181515,20
Jonathan Roberts,0.2212751763857874,21
Tristan MacManus,0.21416292294505776,22
Brandon Armstrong,0.21078140528411096,23
Cheryl Burke,0.19922247475760718,24
Lindsay Arnold,0.16228922407335478,25
Ezra Sosa (Apolo Anton Ohno week 9),0.14998462749311128,26
Fabian Sanchez,0.12511858817371443,27
Inna Brayer,0.07283938535936249,28
Alec Mazo,-0.012283371830915605,29
Dmitry Chaplin,-0.016029526637763972,30
Julianne Hough,-0.02111573445583812,31
Daniella Karagach,-0.038664251536267034,32
Sharna Burgess,-0.06019879975939314,33
Brian Fortuna,-0.07229981278132387,34
Jesse DeSoto,-0.09693629356848724,35
Peta Murgatroyd,-0.10803130233237346,36
Emma Slater,-0.1872728806184491,37
Emma Slater/Kaitlyn Bristowe (week 9),-0.22429057361808397,38
Alan Bersten,-0.22538105275297712,39
Anna Trebunskaya,-0.23058262789622702,40
Gleb Savchenko,-0.23202659827277725,41
Henry Byalikov,-0.276643134767215,42
Kym Herjavec,-0.30091255837518555,43
Andrea Hale,-0.30850703773882027,44
Jan Ravnik,-0.33809894666300183,45
Jenna Johnson,-0.36968456843600217,46
Louis van Amstel,-0.3728217605222701,47
Edyta Sliwinska,-0.37794381709677016,48
Tyne Stecklein,-0.4260140735426159,49
Ezra Sosa,-0.5027002456820848,50
Karina Smirnoff,-0.5274848663623489,51
Chelsie Hightower,-0.5758958757271319,52
Britt Stewart,-0.599578383750868,53
Anna Demidova,-0.6896454205174437,54
Lacey Schwimmer,-0.8191142698083985,55
Ashly DelGrosso,-0.9430593697349556,56
Keo Motsepe,-0.9516112609313327,57
Elena Grinenko,-1.0695601103094154,58
Rylee Arnold,-1.250629990585226,59
Koko Iwasaki,-1.3325818099841404,60
