contestant_key,season,celebrity_name,age,age_z,region,country_group,industry,industry_consolidated,ballroom_partner,mean_J_z,mean_p_hat,mean_p_hat_z,max_week,eliminated_any,elim_week,duration,event,finalist
10||aiden turner||edyta sliwinska,10,Aiden Turner,32,-0.33275859161852656,International,International,Actor/Actress,Actor/Actress,Edyta Sliwinska,-0.6875907098381897,0.041787120909540926,-0.4853091032101615,4,1,4.0,4,1,0
10||buzz aldrin||ashly delgrosso,10,Buzz Aldrin,80,3.397092503940093,Northeast,US,Astronaut,Other_Industry,Ashly DelGrosso,-1.8177318719593571,0.05132063871280337,-0.4266293420371035,3,1,3.0,3,1,0
10||chad ochocinco||cheryl burke,10,Chad Ochocinco,32,-0.33275859161852656,South,US,Athlete,Athlete,Cheryl Burke,-0.43139397857759054,0.03915681103270211,-0.5014989251173717,9,1,9.0,9,1,0
10||erin andrews||maksim chmerkoskiy,10,Erin Andrews,32,-0.33275859161852656,Northeast,US,Sports Broadcaster,Other_Industry,Maksim Chmerkoskiy,0.2041222808903859,0.04441255799292225,-0.4691492738368964,10,0,,10,0,1
10||evan lysacek||anna trebunskaya,10,Evan Lysacek,24,-0.9544004408782966,Midwest,US,Athlete,Athlete,Anna Trebunskaya,0.7526468463675672,0.07408370237869799,-0.28652039515658134,10,0,,10,0,1
10||jake pavelka||chelsie hightower,10,Jake Pavelka,32,-0.33275859161852656,South,US,TV Personality,Tv Personality,Chelsie Hightower,-0.15288439457507508,0.04334378728657995,-0.4757276650552424,6,1,6.0,6,1,0
10||kate gosselin||tony dovolani,10,Kate Gosselin,35,-0.09964289814611284,Northeast,US,TV Personality,Tv Personality,Tony Dovolani,-1.2819298445901213,0.04210084318388682,-0.48337811105037487,5,1,5.0,5,1,0
10||nicole scherzinger||derek hough,10,Nicole Scherzinger,31,-0.4104638227759978,West,US,Singer/Rapper,Singer/Rapper,Derek Hough,1.3973480690762043,0.6956730733619108,3.5394247165758728,10,0,,10,0,1
10||niecy nash||louis van amstel,10,Niecy Nash,40,0.2888832576412434,West,US,Actor/Actress,Actor/Actress,Louis van Amstel,-0.6704330131187103,0.03935147699505756,-0.5003007365352272,8,1,8.0,8,1,0
10||pamela anderson||damian whitewood,10,Pamela Anderson,42,0.4442937199561859,International,International,Model,Model,Damian Whitewood,0.2208546237909983,0.04477888205978851,-0.4668945123522848,7,1,7.0,7,1,0
10||shannen doherty||mark ballas,10,Shannen Doherty,38,0.1334727953263009,South,US,Actor/Actress,Actor/Actress,Mark Ballas,-0.1553151860493489,0.04297701678795015,-0.47798517437227067,2,1,2.0,2,1,0
11||audrina patridge||tony dovolani,11,Audrina Patridge,25,-0.8766952097208253,West,US,TV Personality,Tv Personality,Tony Dovolani,0.6604124969026972,0.05836496864562667,-0.3832707826246651,6,1,6.0,6,1,0
11||brandy||maksim chmerkoskiy,11,Brandy,31,-0.4104638227759978,South,US,Singer/Rapper,Singer/Rapper,Maksim Chmerkoskiy,0.9528639999472774,0.11634376768351494,-0.026405441744957944,9,1,9.0,9,1,0
11||bristol palin||mark ballas,11,Bristol Palin,19,-1.3429265966656527,West,US,TV Personality,Tv Personality,Mark Ballas,-0.9542646970622275,0.051418492016461995,-0.4260270451088156,10,0,,10,0,1
11||david hasselhoff||kym johnson,11,David Hasselhoff,58,1.6875774184757257,South,US,Actor/Actress,Actor/Actress,Kym Johnson,-1.2139394957738219,0.0535353233612313,-0.4129977352236232,1,1,1.0,1,1,0
11||florence henderson||corky ballas,11,Florence Henderson,76,3.0862715793102082,Midwest,US,Actor/Actress,Actor/Actress,Corky Ballas,-0.5365810334329011,0.04370218907341628,-0.47352166600121465,5,1,5.0,5,1,0
11||jennifer grey||derek hough,11,Jennifer Grey,50,1.0659355692159558,Northeast,US,Actor/Actress,Actor/Actress,Derek Hough,1.0765017433427841,0.5883195822924451,2.8786531790334005,10,0,,10,0,1
11||kurt warner||anna trebunskaya,11,Kurt Warner,39,0.21117802648377215,Midwest,US,Athlete,Athlete,Anna Trebunskaya,-0.30344758283219264,0.05267897698322317,-0.4182686333306927,8,1,8.0,8,1,0
11||kyle massey||lacey schwimmer,11,Kyle Massey,19,-1.3429265966656527,South,US,Actor/Actress,Actor/Actress,Lacey Schwimmer,0.13750312535348794,0.06726630896216503,-0.3284821374809136,10,0,,10,0,1
11||margaret cho||louis van amstel,11,Margaret Cho,41,0.36658848879871464,West,US,Comedian,Comedian,Louis van Amstel,-1.1710744495762009,0.04736558871020257,-0.45097307269030457,3,1,3.0,3,1,0
11||michael bolton||chelsie hightower,11,Michael Bolton,57,1.6098721873182544,Northeast,US,Singer/Rapper,Singer/Rapper,Chelsie Hightower,-1.7376749409882204,0.049584970418827604,-0.43731255499877586,2,1,2.0,2,1,0
11||rick fox||cheryl burke,11,Rick Fox,41,0.36658848879871464,International,International,Athlete,Athlete,Cheryl Burke,0.3294032269370207,0.05976409551257176,-0.3746590160032138,7,1,7.0,7,1,0
11||the situation||karina smirnoff,11,The Situation,28,-0.6435795162484116,Northeast,US,TV Personality,Tv Personality,Karina Smirnoff,-1.0321191823850913,0.04489474652837947,-0.46618135489187346,4,1,4.0,4,1,0
12||chelsea kane||mark ballas,12,Chelsea Kane,22,-1.109810903193239,West,US,Actor/Actress,Actor/Actress,Mark Ballas,0.7540940453066582,0.09247136009842052,-0.17334251205072312,10,0,,10,0,1
12||chris jericho||cheryl burke,12,Chris Jericho,40,0.2888832576412434,Northeast,US,Athlete,Athlete,Cheryl Burke,0.0690555969357279,0.06623774448458496,-0.3348130553163882,6,1,6.0,6,1,0
12||hines ward||kym johnson,12,Hines Ward,35,-0.09964289814611284,International,International,Athlete,Athlete,Kym Johnson,0.8970266098510333,0.5124314063920331,2.411553821840056,10,0,,10,0,1
12||kendra wilkinson||louis van amstel,12,Kendra Wilkinson,25,-0.8766952097208253,West,US,TV Personality,Tv Personality,Louis van Amstel,-0.6047003569273526,0.05140088551137867,-0.4261354149188587,7,1,7.0,7,1,0
12||kirstie alley||maksim chmerkoskiy,12,Kirstie Alley,60,1.8429878807906683,Midwest,US,Actor/Actress,Actor/Actress,Maksim Chmerkoskiy,-0.22605897017324272,0.07039437909650362,-0.30922855111295705,10,0,,10,0,1
12||mike catherwood||lacey schwimmer,12,Mike Catherwood,32,-0.33275859161852656,West,US,Radio Personality,Other_Industry,Lacey Schwimmer,-1.4500427640029625,0.05073219533631005,-0.4302512702181868,2,1,2.0,2,1,0
12||petra nemcova||dmitry chaplin,12,Petra Nemcova,31,-0.4104638227759978,International,International,Model,Model,Dmitry Chaplin,-0.13740050143348093,0.05893053821352902,-0.3797896450366173,5,1,5.0,5,1,0
12||ralph macchio||karina smirnoff,12,Ralph Macchio,49,0.9882303380584846,Northeast,US,Actor/Actress,Actor/Actress,Karina Smirnoff,-0.09223989237987104,0.1390125629466697,0.11312327363308056,9,1,9.0,9,1,0
12||romeo||chelsie hightower,12,Romeo,21,-1.1875161343507104,South,US,Singer/Rapper,Singer/Rapper,Chelsie Hightower,0.23659184731163152,0.06249379684427784,-0.3578574296922849,8,1,8.0,8,1,0
12||sugar ray leonard||anna trebunskaya,12,Sugar Ray Leonard,54,1.3767564938458408,South,US,Athlete,Athlete,Anna Trebunskaya,-0.7501090161693058,0.04886113570778153,-0.4417678304647133,4,1,4.0,4,1,0
12||wendy williams||tony dovolani,12,Wendy Williams,46,0.7551146445860708,Northeast,US,TV Personality,Tv Personality,Tony Dovolani,-1.6356998600636832,0.049056937599207595,-0.4405626501248619,3,1,3.0,3,1,0
13||carson kressley||anna trebunskaya,13,Carson Kressley,41,0.36658848879871464,Northeast,US,TV Personality,Tv Personality,Anna Trebunskaya,-0.9652242758586116,0.04925990862339656,-0.43931334305162356,5,1,5.0,5,1,0
13||chaz bono||lacey schwimmer,13,Chaz Bono,42,0.4442937199561859,West,US,TV Personality,Tv Personality,Lacey Schwimmer,-1.2518845135658634,0.050061576419784086,-0.4343789971152208,6,1,6.0,6,1,0
13||chynna phillips||tony dovolani,13,Chynna Phillips,43,0.5219989511136571,West,US,Singer/Rapper,Singer/Rapper,Tony Dovolani,0.5026282271149616,0.13368077044446372,0.08030555439132481,4,1,4.0,4,1,0
13||david arquette||kym johnson,13,David Arquette,40,0.2888832576412434,South,US,Actor/Actress,Actor/Actress,Kym Johnson,-0.20837931179210378,0.04637353448346092,-0.4570792662588529,7,1,7.0,7,1,0
13||elisabetta canalis||valentin chmerkovskiy,13,Elisabetta Canalis,33,-0.2550533604610553,International,International,Actor/Actress,Actor/Actress,Valentin Chmerkovskiy,-0.3985132384305473,0.0455667909992531,-0.46204485356441555,2,1,2.0,2,1,0
13||hope solo||maksim chmerkoskiy,13,Hope Solo,30,-0.48816905393346904,West,US,Athlete,Athlete,Maksim Chmerkoskiy,-0.10531462102415054,0.056868078989449025,-0.39248428904900573,9,1,9.0,9,1,0
13||j.r. martinez||karina smirnoff,13,J.R. Martinez,28,-0.6435795162484116,South,US,Actor/Actress,Actor/Actress,Karina Smirnoff,0.8415106510376841,0.3868996481089345,1.638893220821877,10,0,,10,0,1
13||kristin cavallari||mark ballas,13,Kristin Cavallari,24,-0.9544004408782966,West,US,TV Personality,Tv Personality,Mark Ballas,0.4668325738266667,0.06176906286787473,-0.3623182402269631,3,1,3.0,3,1,0
13||metta world peace (ron)||peta murgatroyd,13,Metta World Peace (Ron),31,-0.4104638227759978,Northeast,US,Athlete,Athlete,Peta Murgatroyd,-1.5724848323239156,0.0526493781854349,-0.41845081690878716,1,1,1.0,1,1,0
13||nancy grace||tristan macmanus,13,Nancy Grace,51,1.143640800373427,South,US,TV Personality,Tv Personality,Tristan MacManus,-0.7504782927020123,0.04740362550269508,-0.4507389524059237,8,1,8.0,8,1,0
13||ricki lake||derek hough,13,Ricki Lake,42,0.4442937199561859,Northeast,US,Actor/Actress,Actor/Actress,Derek Hough,0.8578185026701133,0.2819073501041454,0.9926550641339811,10,0,,10,0,1
13||rob kardashian||cheryl burke,13,Rob Kardashian,24,-0.9544004408782966,West,US,TV Personality,Tv Personality,Cheryl Burke,0.27129507162336164,0.06857913293572618,-0.3204015738505115,10,0,,10,0,1
14||donald driver||peta murgatroyd,14,Donald Driver,37,0.05576756416882966,South,US,Athlete,Athlete,Peta Murgatroyd,0.21033194666211186,0.06466472492045813,-0.34449514898300126,10,0,,10,0,1
14||gavin degraw||karina smirnoff,14,Gavin DeGraw,35,-0.09964289814611284,Northeast,US,Singer/Rapper,Singer/Rapper,Karina Smirnoff,-0.888156037222615,0.040380484219753175,-0.49396709354671486,5,1,5.0,5,1,0
14||gladys knight||tristan macmanus,14,Gladys Knight,67,2.386924498892967,South,US,Singer/Rapper,Singer/Rapper,Tristan MacManus,-0.9815625319111119,0.041606819488765066,-0.4864188765937776,6,1,6.0,6,1,0
14||jack wagner||anna trebunskaya,14,Jack Wagner,52,1.2213460315308984,Midwest,US,Actor/Actress,Actor/Actress,Anna Trebunskaya,-0.36994941789179747,0.04934029281237077,-0.43881857028165167,3,1,3.0,3,1,0
14||jaleel white||kym johnson,14,Jaleel White,35,-0.09964289814611284,West,US,Actor/Actress,Actor/Actress,Kym Johnson,0.1330923751001945,0.06979151647431343,-0.31293923120191414,7,1,7.0,7,1,0
14||katherine jenkins||mark ballas,14,Katherine Jenkins,31,-0.4104638227759978,International,International,Singer/Rapper,Singer/Rapper,Mark Ballas,0.8868971161257557,0.6014466791852914,2.9594517810252285,10,0,,10,0,1
14||maria menounos||derek hough,14,Maria Menounos,33,-0.2550533604610553,Northeast,US,TV Personality,Tv Personality,Derek Hough,0.5176781528891,0.06113905940236042,-0.36619597493701184,9,1,9.0,9,1,0
14||martina navratilova||tony dovolani,14,Martina Navratilova,55,1.454461725003312,International,International,Athlete,Athlete,Tony Dovolani,-1.5796372784734873,0.0471403907445645,-0.45235918882424386,2,1,2.0,2,1,0
