season,week,contestant_id,celebrity_name,J_total,p_hat,z_score,kappa,merit_score,pop_score,w_j,w_f,amei_score,amei_rank,bottom2_flag,eliminated
1,1,0,John O'Hurley,20.0,0.4140854404196781,0.6744999993255,1.0,0.2834546598612678,0.42790271549702824,0.6479921447227146,0.3520078552772854,0.33430151012458587,1,0,0
1,1,1,Kelly Monaco,13.0,0.0339902028070258,-4.046999995953,0.05,0.0025232611831184915,0.0017562196906368058,0.6479921447227146,0.3520078552772854,0.0022532565524413252,6,1,0
1,1,2,Evander Holyfield,18.0,0.0560403703633546,-0.6744999993255,1.0,0.07355637961653903,0.057910335199505975,0.6479921447227146,0.3520078552772854,0.06804884907772608,5,1,0
1,1,3,Rachel Hunter,20.0,0.2511555153551437,0.6744999993255,1.0,0.2834546598612678,0.2595361163232398,0.6479921447227146,0.3520078552772854,0.2750351446490902,2,0,0
1,1,4,Joey McIntyre,20.0,0.1523335204188217,0.6744999993255,1.0,0.2834546598612678,0.15741661185278935,0.6479921447227146,0.3520078552772854,0.23908827689846776,3,0,0
1,1,5,Trista Sutter,18.0,0.0923949506359758,-0.6744999993255,1.0,0.07355637961653903,0.09547800143679984,0.6479921447227146,0.3520078552772854,0.08127296269768877,4,0,0
1,2,0,John O'Hurley,26.0,0.4140854404196781,1.1562857139553468,1.0,0.3851050718093945,0.42978506046634224,0.63577223804673,0.36422776195327,0.40137876408201206,1,0,0
1,2,1,Kelly Monaco,17.0,0.0560403703633546,-0.5781428569776734,1.0,0.06797144156061082,0.0581650828890771,0.63577223804673,0.36422776195327,0.06439969348876705,5,1,0
1,2,2,Evander Holyfield,14.0,0.0923949506359758,-1.1562857139553468,0.6046428575558164,0.03812784224866773,0.05798404642015158,0.63577223804673,0.36422776195327,0.04536002305493447,6,1,0
1,2,3,Rachel Hunter,24.0,0.2511555153551437,0.770857142636898,1.0,0.26193271021288583,0.26067781625928454,0.63577223804673,0.36422776195327,0.2614756429966769,2,0,0
1,2,4,Joey McIntyre,21.0,0.1523335204188217,0.1927142856592245,1.0,0.1469283102647965,0.15810908786819247,0.63577223804673,0.36422776195327,0.15100065986817865,3,0,0
1,2,5,Trista Sutter,19.0,0.0339902028070258,-0.1927142856592245,1.0,0.09993462390364466,0.03527890609695196,0.63577223804673,0.36422776195327,0.07638521650943078,4,0,1
1,3,0,John O'Hurley,24.0,0.4286555287771669,0.67449999966275,1.0,0.25903192085119786,0.45365731205789633,0.5693175735890015,0.4306824264109985,0.3428536565772886,2,0,0
1,3,1,Kelly Monaco,21.0,0.0956459767845591,-0.337249999831375,1.0,0.09417938371875162,0.1012246286919846,0.5693175735890015,0.4306824264109985,0.0972136469184835,4,1,0
1,3,2,Evander Holyfield,13.0,0.0580122173979978,-3.035249998482375,0.05,0.006342045195623356,0.0030697920409857864,0.5693175735890015,0.4306824264109985,0.0049327432671530036,5,1,1
1,3,3,Rachel Hunter,26.0,0.2599927206586828,1.3489999993255,1.0,0.5084929241746913,0.27515706876593593,0.5693175735890015,0.4306824264109985,0.4079992717985626,1,0,0
1,3,4,Joey McIntyre,22.0,0.1576935563815932,0.0,1.0,0.13195372605973582,0.16689119844319744,0.5693175735890015,0.4306824264109985,0.1470006814385123,3,0,0
1,4,0,John O'Hurley,21.0,0.1674050972784433,-0.53959999978416,1.0,0.11683025091464125,0.16740509727844333,0.4306824264109985,0.5693175735890015,0.14562339973111757,4,1,0
1,4,1,Kelly Monaco,26.0,0.2760043447065936,0.8093999996762399,1.0,0.45021355365720395,0.27600434470659363,0.4306824264109985,0.5693175735890015,0.3510331895205831,1,0,0
1,4,3,Rachel Hunter,25.0,0.1015363240915518,0.53959999978416,1.0,0.34375253860465294,0.10153632409155183,0.4306824264109985,0.5693175735890015,0.2058545910741411,3,1,1
1,4,4,Joey McIntyre,20.0,0.4550542339234112,-0.8093999996762399,1.0,0.08920365682350195,0.4550542339234113,0.4306824264109985,0.5693175735890015,0.29748881967415824,2,0,0
1,5,0,John O'Hurley,27.0,0.5064803910556541,2.3607499976392496,1.0,0.875340883495779,0.5064803910556541,0.36422776195327,0.63577223804673,0.6408296226901019,1,0,0
1,5,1,Kelly Monaco,23.5,0.1863237232258476,0.0,1.0,0.08258791761576398,0.1863237232258476,0.36422776195327,0.63577223804673,0.14854026291406736,3,1,0
1,5,4,Joey McIntyre,22.5,0.3071958857184984,-0.6744999993255,1.0,0.04207119888845711,0.3071958857184984,0.36422776195327,0.63577223804673,0.21063011439583085,2,1,0
1,6,0,John O'Hurley,27.0,0.3775406687981454,-0.6744999973019999,1.0,0.2060339085325722,0.3775406687981454,0.35200785527728545,0.6479921447227146,0.3171689419515054,2,1,0
1,6,1,Kelly Monaco,27.5,0.6224593312018546,0.6744999973019999,1.0,0.7939660914674278,0.6224593312018546,0.35200785527728545,0.6479921447227146,0.6828310580484946,1,1,0
2,1,6,Tatum O'Neal,23.0,0.2402701460507435,0.6744999997302,1.0,0.17183711866291132,0.24296055012189954,0.6479921447227146,0.3520078552772854,0.1968731252307508,2,0,0
2,1,7,Tia Carrere,20.0,0.0325170282690796,-0.13489999994604,1.0,0.07648900797797258,0.03288113486607044,0.6479921447227146,0.3520078552772854,0.0611386940906479,6,0,0
2,1,8,George Hamilton,18.0,0.011962346188185,-0.6744999997302,1.0,0.044591668835280686,0.012096293519612824,0.6479921447227146,0.3520078552772854,0.033153041463982,8,0,0
2,1,9,Lisa Rinna,19.0,0.0197225746079392,-0.40469999983811994,1.0,0.05840181943478213,0.019943416422417773,0.6479921447227146,0.3520078552772854,0.04486415947301026,7,0,0
2,1,10,Stacy Keibler,22.0,0.0883904470593283,0.40469999983811994,1.0,0.1312031707776187,0.08938019140555056,0.6479921447227146,0.3520078552772854,0.11648115350755084,4,0,0
2,1,11,Jerry Rice,21.0,0.053611516167189,0.13489999994604,1.0,0.10017784373974405,0.054211826458450026,0.6479921447227146,0.3520078552772854,0.0839974445809171,5,0,0
2,1,12,Giselle Fernandez,23.0,0.1457312101934082,0.6744999997302,1.0,0.17183711866291132,0.14736302274958002,0.6479921447227146,0.3520078552772854,0.163222044650609,3,0,0
2,1,13,Master P,12.0,0.0072555297252307,-2.29329999908268,0.05,0.00883522917437156,0.0003668386444264183,0.6479921447227146,0.3520078552772854,0.005854289186275096,10,1,0
2,1,14,Drew Lachey,24.0,0.3961385005080872,0.94429999962228,1.0,0.22505550113891373,0.40057422692698036,0.6479921447227146,0.3520078552772854,0.286839471364573,1,0,0
2,1,15,Kenny Mayne,13.0,0.0044007012308088,-2.0234999991905998,0.05,0.011571521595493997,0.0002224988850120437,0.6479921447227146,0.3520078552772854,0.007576576451684041,9,1,1
2,2,6,Tatum O'Neal,17.0,0.0072876002767382,-1.686249999156875,0.05,0.00834703487957568,0.0003868478602567542,0.6417959639611452,0.35820403603885476,0.0054956637616315395,8,1,1
2,2,7,Tia Carrere,22.0,0.0326607585092504,0.0,1.0,0.0450672748802294,0.034674636543927405,0.6417959639611452,0.35820403603885476,0.0413445898830739,5,0,0
2,2,8,George Hamilton,22.0,0.0198097514053307,0.0,1.0,0.0450672748802294,0.02103123017828413,0.6417959639611452,0.35820403603885476,0.036457466657582274,6,0,0
2,2,9,Lisa Rinna,20.0,0.0120152215886184,-0.67449999966275,1.0,0.022957768387243557,0.012756085914602816,0.6417959639611452,0.35820403603885476,0.0193034845511568,7,0,0
2,2,10,Stacy Keibler,29.0,0.2413321768584784,2.360749998819625,1.0,0.47766343305212666,0.25621283463311106,0.6417959639611452,0.35820403603885476,0.39833893491521566,1,0,0
2,2,11,Jerry Rice,23.0,0.0887811463593847,0.337249999831375,1.0,0.06314327625633598,0.09425543442578002,0.6417959639611452,0.35820403603885476,0.07428777688251006,4,0,0
2,2,12,Giselle Fernandez,24.0,0.1463753644398588,0.67449999966275,1.0,0.0884693682273888,0.15540093961686466,0.6417959639611452,0.35820403603885476,0.1124445272375218,3,0,0
2,2,13,Master P,16.0,0.0538484872714014,-2.0234999989882496,0.05,0.005957532419217052,0.002858440541188458,0.6417959639611452,0.35820403603885476,0.004847425200451976,9,1,0
2,2,14,Drew Lachey,27.0,0.3978894932909386,1.686249999156875,1.0,0.24332703701765337,0.42242355028598466,0.6417959639611452,0.35820403603885476,0.3074801309108559,2,0,0
2,3,7,Tia Carrere,26.0,0.0894328975684541,0.5620833331459723,1.0,0.18548924340453896,0.10542887037338043,0.6184998244939206,0.3815001755060794,0.1549461970420698,3,0,0
2,3,8,George Hamilton,22.0,0.0199551767569872,-0.3372499998875833,1.0,0.07546459156065598,0.023524360730680323,0.6184998244939206,0.3815001755060794,0.05564938438319399,5,0,0
2,3,9,Lisa Rinna,25.0,0.0329005243798257,0.3372499998875833,1.0,0.14814085736052646,0.03878511391629558,0.6184998244939206,0.3815001755060794,0.10642162204395458,4,0,0
2,3,10,Stacy Keibler,27.0,0.2431038203267679,0.7869166664043611,1.0,0.2322536809345898,0.2865853825309242,0.6184998244939206,0.3815001755060794,0.25298123462913535,2,0,0
2,3,11,Jerry Rice,19.0,0.0542437943622068,-1.01174999966275,0.7853125004215625,0.03844249777464898,0.05021746930843044,0.6184998244939206,0.3815001755060794,0.0429346514813657,7,1,0
2,3,12,Giselle Fernandez,22.0,0.0121034265230977,-0.3372499998875833,1.0,0.07546459156065598,0.014268246033297556,0.6184998244939206,0.3815001755060794,0.05211817500163806,6,0,1
2,3,13,Master P,14.0,0.147449920521456,-2.1359166659546944,0.05,0.012490856469794084,0.008691141056523941,0.6184998244939206,0.3815001755060794,0.01104126437275837,8,1,0
2,3,14,Drew Lachey,27.0,0.4008104395612044,0.7869166664043611,1.0,0.2322536809345898,0.4724994160504676,0.6184998244939206,0.3815001755060794,0.32390747104588424,1,0,0
2,4,7,Tia Carrere,25.0,0.1492564348133185,0.0,1.0,0.07652503322551307,0.15724910992987384,0.551404236044819,0.44859576395518097,0.11273751208428243,3,0,0
2,4,8,George Hamilton,21.0,0.0333036122030794,-2.697999997302,0.05,0.005153200210109851,0.0017543509540925383,0.551404236044819,0.44859576395518097,0.003628490831538266,6,1,0
2,4,9,Lisa Rinna,26.0,0.0549083738303654,0.6744999993255,1.0,0.15022255858048003,0.05784871468570867,0.551404236044819,0.44859576395518097,0.10878404350902844,4,0,0
2,4,10,Stacy Keibler,26.0,0.2460822588655854,0.6744999993255,1.0,0.15022255858048003,0.25925995234004584,0.551404236044819,0.44859576395518097,0.19913627153373434,2,0,0
2,4,11,Jerry Rice,24.0,0.0905286038736777,-0.6744999993255,1.0,0.03898269850748516,0.09537640638499077,0.551404236044819,0.44859576395518097,0.0642806769750601,5,0,0
2,4,13,Master P,8.0,0.0201996618803474,-11.4664999885335,0.05,8.016150366420848e-07,0.0010640676415532321,0.551404236044819,0.44859576395518097,0.0004777782504894415,7,1,1
2,4,14,Drew Lachey,28.0,0.4057210545336259,2.0234999979765,1.0,0.5788931492808953,0.4274473980637351,0.551404236044819,0.44859576395518097,0.510955226815867,1,0,0
2,5,7,Tia Carrere,22.0,0.0560403703633546,-0.8431249995784375,0.9960937505269531,0.036544701131248344,0.055833685117913825,0.448595763955181,0.551404236044819,0.047180728610496374,6,1,1
2,5,8,George Hamilton,24.0,0.0339902028070258,-0.1686249999156875,1.0,0.07173911956586058,0.03399764515221641,0.448595763955181,0.551404236044819,0.05092831069960004,5,1,0
2,5,9,Lisa Rinna,25.0,0.1523335204188217,0.1686249999156875,1.0,0.10051291224446,0.15236687469592017,0.448595763955181,0.551404236044819,0.12910540679590415,3,0,0
