season,judge_save,weeks,entropy_mean,entropy_mean_amei,entropy_mean_cbr,entropy_mean_cbp,fairness_loss_mean_amei,fairness_loss_mean_cbr,fairness_loss_mean_cbp,excitement_loss_mean_amei,excitement_loss_mean_cbr,excitement_loss_mean_cbp,spearman_mean_amei,spearman_mean_cbr,spearman_mean_cbp,interception_mean_amei,interception_mean_cbr,interception_mean_cbp,emr_amei,emr_cbr,emr_cbp,b2cr_amei,b2cr_cbr,b2cr_cbp,js_emr_amei,js_emr_cbr,js_emr_cbp,js_emr_amei_a,js_emr_cbr_a,js_emr_cbp_a,js_emr_amei_c,js_emr_cbr_c,js_emr_cbp_c
1,False,6,1.0449757285096866,1.0449757285096866,0.5974937842432686,1.9316804397248994,21.950679166666664,45.29305555555556,45.29305555555556,0.19904339934288987,1.0833333333333333,0.0950342409381541,0.9876366832954252,0.8373127753615074,0.6162081118668538,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5,,,,,,,,,,,,
2,False,8,1.4194760202992076,1.4194760202992076,0.25000007764594967,2.4569076256128923,47.07582363527281,105.81100145623014,105.81100145623014,0.08347873394579272,1.25,0.04090725311689969,0.976508522004657,0.911206114092,0.8005017619332849,,,,0.375,0.75,0.625,,,,,,,,,,,,
3,False,10,1.502260353157013,1.502260353157013,0.30000007560706893,2.411236079685522,29.65649404537021,46.548896103896105,46.548896103896105,0.060544746135282525,1.3,0.10064746046780124,0.9238124341635348,0.8948628643198292,0.7479032489886748,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.3,0.5,,,,,,,,,,,,
4,False,10,1.945319937189602,1.945319937189602,0.3584963351620286,2.6710441391947137,56.05241074865768,88.15621226077634,88.15621226077634,0.06721557321539863,1.2,0.023757156465319763,0.9558286160428284,0.9072128307901741,0.8250861851509399,,,,0.3,0.5,0.4,,,,,,,,,,,,
5,False,10,1.9051086992159554,1.9051086992159554,0.5584963197645526,2.701587255861607,28.418229781393013,49.70667296873593,49.70667296873593,0.05063810823118613,0.8,0.018360492635133167,0.968114074308426,0.8899486820772328,0.8776350664730288,1.0,0.0,0.0,0.4,0.4,0.7,,,,,,,,,,,,
6,False,10,2.0651397070727695,2.0651397070727695,0.2584963253444851,2.6884568186852227,42.13223229331372,65.15369047619046,65.15369047619046,0.04056083374512098,1.55,0.00894652008489711,0.9749598184051169,0.9340326894816006,0.9512137470316062,1.0,0.0,1.0,0.5,0.8,0.8,,,,,,,,,,,,
7,False,10,1.957988688371989,1.957988688371989,0.20000007745419918,2.672699701128884,35.98096983874943,61.46834346209346,61.46834346209346,0.016739799375949403,1.55,0.014947989286949737,0.9678945704561471,0.9172920849207475,0.9185037610104096,1.0,0.0,1.0,0.4,0.6,0.4,,,,,,,,,,,,
8,False,11,1.9256754202124464,1.9256754202124464,0.09090918353835135,2.796088636686254,75.12416209958234,121.01518065268066,121.01518065268066,0.06242878556858229,1.7272727272727273,0.019327269049562022,0.9516118389626183,0.9096993994326289,0.8846696370722428,,,,0.36363636363636365,0.5454545454545454,0.5454545454545454,,,,,,,,,,,,
9,False,10,2.3927442457683537,2.3927442457683537,0.5169925774095016,2.919658968977367,92.56429496144924,126.1572928562982,126.1572928562982,0.05144455488977686,0.9,0.009218764098075396,0.9010330080182974,0.9068524653837498,0.8653981014544136,,,,0.2,0.5,0.2,,,,,,,,,,,,
10,False,10,2.024046149860416,2.024046149860416,0.4000000701125376,2.6563709877060706,56.414745361798495,86.8227562659365,86.8227562659365,0.02268120706031266,1.15,0.0063727809908826925,0.9851108677118285,0.9225628842996976,0.9239612709672487,1.0,0.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,
11,False,10,1.9000315587987662,1.9000315587987662,0.9339850344244243,2.6798185224390356,40.515552147215594,67.47596433389322,67.47596433389322,0.03494676445025813,0.95,0.006472135012130384,0.9686250133358364,0.8948158578309167,0.8899094049619624,,,,0.4,0.5,0.5,,,,,,,,,,,,
12,False,10,1.9344826611134607,1.9344826611134607,0.20000008748518444,2.676731427428525,30.64046244982279,47.46470377592785,47.46470377592785,0.05144912343428324,1.35,0.019966121246304442,0.9437726105856574,0.897754076429534,0.8312973756885814,0.0,0.0,0.0,0.4,0.6,0.7,,,,,,,,,,,,
13,False,10,1.8889129431300486,1.8889129431300486,0.20000008681455456,2.690976721313918,32.34276733393385,49.53341146401118,49.53341146401118,0.07291979432926385,1.55,0.02101414034986212,0.9122247468618492,0.8779877840667913,0.7609649989859463,,,,0.5,0.5,0.6,,,,,,,,,,,,
14,False,10,2.251085045672169,2.251085045672169,0.5584963055059196,2.828067602253087,34.50403583822535,53.225905346681635,53.225905346681635,0.029265860026200564,1.5,0.005690193193347977,0.9450700614587724,0.9296517852203414,0.7295825742674545,1.0,0.0,0.0,0.3,0.5,0.4,,,,,,,,,,,,
15,False,10,1.6884791989758363,1.6884791989758363,0.4000000800893521,2.8877691869128013,16.667137226703957,32.19415193580184,32.19415193580184,0.039455146082789355,1.55,0.02868130911651328,0.9606727472805711,0.8943779149201869,0.7323892764323647,1.0,0.0,0.0,0.1,0.2,0.1,,,,,,,,,,,,
16,False,10,2.032868980280486,2.032868980280486,0.30000006031676085,2.8854172185500815,47.937602588299086,85.44865391782935,85.44865391782935,0.034465285699032865,1.7,0.015504882163107686,0.9118815453281796,0.9532270851076085,0.9038089134270297,,,,0.7,0.7,0.8,,,,,,,,,,,,
17,False,11,1.9503364898254494,1.9503364898254494,0.27272737689228405,2.8958823074451416,32.419959471750126,65.04253479480651,65.04253479480651,0.0327978725254976,1.0454545454545454,0.005880353584944851,0.9162886509562518,0.8548123804154905,0.761615667470772,0.0,0.0,0.0,0.2727272727272727,0.36363636363636365,0.45454545454545453,,,,,,,,,,,,
18,False,10,1.6476383925789757,1.6476383925789757,0.6169925640542695,2.840195937459463,30.186686500963816,55.90722176312842,55.90722176312842,0.03000619637693639,1.0,0.003749435173614686,0.956340354492901,0.9238798572098741,0.8264816881699784,0.0,0.0,0.0,0.2,0.4,0.5,,,,,,,,,,,,
19,False,11,2.1720925046718684,2.1720925046718684,0.23499671424377286,2.917137336243919,97.54382835746901,155.4522338138656,155.4522338138656,0.02752972719780666,1.0909090909090908,0.007199213804311267,0.9684211637707278,0.9202914486093866,0.87522366092702,,,,0.36363636363636365,0.8181818181818182,0.5454545454545454,,,,,,,,,,,,
20,False,10,2.166325952737882,2.166325952737882,0.3000001176420649,2.8330117799273595,70.0173615691231,106.59613997113998,106.59613997113998,0.07022470924761015,0.95,0.02885585735236613,0.9310679809906558,0.8753626504697316,0.8292309741580421,,,,0.2,0.4,0.5,,,,,,,,,,,,
21,False,11,1.883829524335556,1.883829524335556,0.234996666895084,2.8876337304091164,70.07399860566346,118.40506025777584,118.40506025777584,0.03479288593608689,1.5454545454545454,0.008228191872272106,0.948926524545469,0.8844651961926228,0.773033770015434,0.0,0.0,0.0,0.2727272727272727,0.18181818181818182,0.5454545454545454,,,,,,,,,,,,
22,False,10,1.8985713145732237,1.8985713145732237,0.30000007918425886,2.911699810667477,35.22708476723927,60.862180606949494,60.862180606949494,0.056598945464950215,1.75,0.0404448530354828,0.9549704776338072,0.8911986832461143,0.7978634584118043,1.0,0.0,0.0,0.4,0.6,0.5,,,,,,,,,,,,
23,False,11,2.275724551489648,2.275724551489648,0.2727273629603672,2.9501437416871297,52.076005836821814,71.96534700523385,71.96534700523385,0.02526598060672831,1.3636363636363635,0.0057414881565554625,0.9442430027663086,0.9213203833556567,0.85713901116798,0.5,0.0,0.0,0.45454545454545453,0.7272727272727273,0.6363636363636364,,,,,,,,,,,,
24,False,10,2.1543131915356497,2.1543131915356497,0.40000009140878906,2.8130673991945114,66.01123237118337,93.61944677781528,93.61944677781528,0.07482273331767668,1.2,0.03013180921369666,0.9688913249056338,0.8690963427577112,0.7461114390663057,,,,0.4,0.4,0.4,,,,,,,,,,,,
25,False,10,2.3580934570820835,2.3580934570820835,0.2000000912813244,2.978062545406695,36.115321677275126,53.619745959034375,53.619745959034375,0.02309607966725965,2.0,0.0056442461520961025,0.9578684320229875,0.8752240216497003,0.9177617223014869,,,,0.4,0.7,0.5,,,,,,,,,,,,
26,False,4,2.0145409559711815,2.0145409559711815,0.6462406592918283,2.5349134685827694,29.882629123263897,48.138020833333336,48.138020833333336,0.04969618272428224,1.625,0.013365720426649415,0.9954951265154914,0.9340146468669323,0.9177435587438108,,,,0.5,0.5,0.5,,,,,,,,,,,,
