stage,metric,method,value
Early,EMR,AMEI,0.3373493975903614
Early,B2CR,AMEI,0.56
Early,JS_EMR,AMEI,0.42105263157894735
Early,Interception,AMEI,0.5
Early,Spearman,AMEI,0.9798578724651847
Early,EMR,CBR,0.4578313253012048
Early,B2CR,CBR,0.76
Early,JS_EMR,CBR,0.42105263157894735
Early,Interception,CBR,0.0
Early,Spearman,CBR,0.9374210568526222
Early,EMR,CBP,0.4939759036144578
Early,B2CR,CBP,0.64
Early,JS_EMR,CBP,0.42105263157894735
Early,Interception,CBP,0.25
Early,Spearman,CBP,0.9063467939015005
Mid,EMR,AMEI,0.38961038961038963
Mid,B2CR,AMEI,0.47619047619047616
Mid,JS_EMR,AMEI,0.2631578947368421
Mid,Interception,AMEI,0.4
Mid,Spearman,AMEI,0.9530194335931861
Mid,EMR,CBR,0.5584415584415584
Mid,B2CR,CBR,0.7619047619047619
Mid,JS_EMR,CBR,0.2631578947368421
Mid,Interception,CBR,0.0
Mid,Spearman,CBR,0.89419621514515
Mid,EMR,CBP,0.5324675324675324
Mid,B2CR,CBP,0.8571428571428571
Mid,JS_EMR,CBP,0.2631578947368421
Mid,Interception,CBP,0.0
Mid,Spearman,CBP,0.8139378054565152
Late,EMR,AMEI,0.3235294117647059
Late,B2CR,AMEI,0.5555555555555556
Late,JS_EMR,AMEI,0.4444444444444444
Late,Interception,AMEI,0.6666666666666666
Late,Spearman,AMEI,0.9287868031221524
Late,EMR,CBR,0.5
Late,B2CR,CBR,0.5925925925925926
Late,JS_EMR,CBR,0.5
Late,Interception,CBR,0.16666666666666666
Late,Spearman,CBR,0.8841827477554269
Late,EMR,CBP,0.5
Late,B2CR,CBP,0.6296296296296297
Late,JS_EMR,CBP,0.5
Late,Interception,CBP,0.25
Late,Spearman,CBP,0.7666178710831119
