stage,metric,method,value
Early,EMR,AMEI,0.3373493975903614
Early,B2CR,AMEI,0.56
Early,EMR,CBR,0.4578313253012048
Early,B2CR,CBR,0.76
Early,EMR,CBP,0.4939759036144578
Early,B2CR,CBP,0.64
Mid,EMR,AMEI,0.38961038961038963
Mid,B2CR,AMEI,0.47619047619047616
Mid,EMR,CBR,0.5584415584415584
Mid,B2CR,CBR,0.7619047619047619
Mid,EMR,CBP,0.5324675324675324
Mid,B2CR,CBP,0.8571428571428571
Late,EMR,AMEI,0.3235294117647059
Late,B2CR,AMEI,0.5555555555555556
Late,EMR,CBR,0.5
Late,B2CR,CBR,0.5925925925925926
Late,EMR,CBP,0.5
Late,B2CR,CBP,0.6296296296296297
